title,videoId,description,channelId,channelTitle,ChannelPublishedAt,videoPublishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,caption,licensedContent,channel_videoCount,channel_subscriberCount,channel_commentCount,channel_ViewCount,country
RURAL STREET Food Market TOUR in Vietnam + INCREDIBLE Home Cooked FEAST,tViXaXuwqFc,We're going DEEP into a Vietnamese Street Food Market to find the best local ingredients and cook up a local home cooked Vietnamese food feast outside of ...,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2017-08-10T14:00:08.000Z,103480,3951,104,840,0,PT15M16S,0,0,144,858613,0,107733575,China
TEENS EAT CRAZY STADIUM FOOD! | Teens Vs. Food,MZUnB4GRl1U,"In partnership with MLB, be sure to check out our Facebook livestream at 12pm ET on Aug 20th! Like our page https://www.facebook.com/FineBros Watch all ...",UCHEf6T_gVq4tlW5i91ESiWg,REACT,2013-07-30T10:19:47.000Z,2017-08-10T19:00:00.000Z,87984,9629,151,2312,0,PT8M1S,0,0,917,8084567,0,2054460364,0
"INSANE Street Food Tour in Saigon, Vietnam | HIDDEN Vietnamese Street Food + Street Breakfast & EGGS",39Pjp-9waAo,"Street Food in Vietnam is insane! Vietnamese Street Food is some of the BEST and CHEAPEST in Asia! Street Food around the world is different, and you can ...",UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2017-08-03T16:00:00.000Z,720236,11756,859,2364,0,PT22M45S,0,0,144,858613,0,107733575,China
"DEEP Chinese Street Food Tour in Beijing, China | BEST Unknown Street Foods  + PEKING DUCK",jKXOh5wrzK4,"Street Food - Chinese Street Food - EGG Breakfast Jianbing - BEST Street Food in China. Featuring all The BEST, HIDDEN, and DEEP Street food you can find ...",UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2017-06-20T16:00:04.000Z,2379829,29422,1462,4387,0,PT27M45S,0,0,144,858613,0,107733575,China
EGGS fried with LOTS of BUTTER | Egg Ghotala | Indian Street Food,f1rS3hIWSYc,"Mumbai is a city of great egg dishes. Hard-boiled egg curries, masala omelets and anda bhurjis are some of the famous street food items in Mumbai.",UC_c8Xgf0_jnMVrAFKfIrFoQ,Aamchi Mumbai,2015-08-30T18:58:36.000Z,2017-08-09T08:27:27.000Z,207887,1068,224,381,0,PT7M37S,0,0,50,42684,0,11550354,India
TOP 11 FOOD LIFE HACKS,c4VsF-8OIzE,TOP 11 FOOD LIFE HACKS Subscribe now! https://www.youtube.com/c/amazingstuff2?sub_confirmation=1 More amazing stuff: ...,UCJPfvoDyw7OA0Aaq2fzzWXw,AmazingStuff,2015-08-05T07:17:05.000Z,2016-12-05T21:00:01.000Z,30826356,61166,25262,3753,0,PT10M1S,0,0,108,320441,0,116037153,United States
Street Food Vietnam - Fried Sticky Rice - Street Food,QqosO1GgVO0,Street Food Vietnam - Fried Sticky Rice - Street Food This Fried Sticky Rice (Xoi Chien Phong) is one of my favourite Vietnamese Food Recipes which is ...,UCUGOWbsjRAOxj5bRzT8pw7g,Street Food Videos,2015-02-06T00:46:10.000Z,2017-05-30T16:14:27.000Z,5452468,14064,3926,1294,0,PT17M48S,0,0,49,116371,0,43197904,United States
"Indian Street Food Tour in Mumbai, India | Street Food in India BEST Curry",ltUDZD1vgxQ,Follow me on Insta: http://bit.ly/2c5ojch And subscribe to my channel here: http://bit.ly/2cCy2ub Indian Street Food Mumbai - Indian Street Food - Street Food ...,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2016-07-22T16:00:02.000Z,9522124,81891,3321,10537,0,PT11M39S,0,0,144,858613,0,107733575,China
"HUGE Vietnamese Street Food Journey North to South - HANOI, CHEAPEST Street Food Around the World",5OzrpNCyXqs,Vietnamese Street Food ADVENTURE in Hanoi - The BEST and CHEAPEST Street Food around the world! We flew to Vietnam to try the BEST street food in ...,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2017-07-10T17:00:01.000Z,1047331,15522,540,2586,0,PT23M9S,0,0,144,858613,0,107733575,China
Indian Street Food - The BIGGEST Scrambled Egg Ever!,Vh36NPTjudY,,UCHKVXtT1YBCYUnnr4apqXfg,Travel Thirsty,2013-01-20T18:19:54.000Z,2016-12-14T15:02:10.000Z,19258570,47894,11589,9170,0,PT10M56S,0,0,268,284493,0,126828455,0
FOOD & COOKING FAILS FUNNY COMPILATION!,EzubIsdjzX8,"Thanks for watching, subscribe for more! SHARE WITH YOUR FRIENDS! Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made ...",UCfNHf7dQ_78pzTtO3zy9Dag,Funny Fails,2017-05-27T03:13:41.000Z,2017-08-07T18:58:59.000Z,491343,4201,444,1014,0,PT6M46S,0,0,85,40515,0,12781112,Argentina
GUMMY FOOD vs REAL FOOD CHALLENGE!! DeZoeteZusjes [echt alle soorten snoep],p3UDcsQwe6g,ABONNEREN OP DE ZOETE ZUSJES = GRATIS EN COOL!  In deze video doen De Zoete Zusjes de super coole GUMMY FOOD vs REAL FOOD ...,UC4-cy9vNChUByc7Dpy826zg,De Zoete Zusjes,2016-11-01T20:37:51.000Z,2017-08-09T10:00:05.000Z,76118,1872,264,640,0,PT7M59S,0,0,38,22800,0,4877718,Netherlands
Full chicken kulambu - Cooking a entire chicken - My Village My Food,GO26QIueqRw,Thanks for watching.,UCSVellbrvlxvpi6b5-YQzVQ,My Money My Food,2015-10-11T03:39:02.000Z,2016-07-31T13:33:20.000Z,10866837,25956,5621,3113,0,PT9M,0,0,124,242376,0,76438890,India
GUMMY FOOD VS REAL FOOD CHALLENGE!!,gnMU0wgpga8,CokeTV: https://www.youtube.com/channel/UC5eA20U9vtILmf0pur6gkTg > ABONNER FOR FLERE VIDEOER: ...,UCoTIpy3oghHB_O80YELt8Sw,Max Marius,2015-12-08T00:31:49.000Z,2017-08-09T12:58:01.000Z,18426,607,20,54,0,PT9M3S,0,0,52,26011,0,1450887,Denmark
AMAZING STREET FOOD AND SKILLS // Super human Level,2wDMFpQ2ToI,"FANTASTISCHE Strasse Nahrung indian street food, india street food, india, street food, vegetarian, vegan, chickpea, chickpea salad, cutting fruit, fruit cutting, ...",UCQuC1lsmKmAQQYl_Kk-9R5w,Pro Compilation,2016-11-08T07:10:53.000Z,2017-02-26T13:26:25.000Z,5826956,11584,3695,529,0,PT6M45S,0,0,26,79743,0,34487507,0
19 FOOD HACKS THAT WILL BLOW YOUR MIND,LP_1VAcXoBM,Subscribe to 5-Minute Crafts here: https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw?sub_confirmation=1 Facebook: ...,UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,2016-11-15T09:25:37.000Z,2017-02-10T11:30:01.000Z,22938410,187300,12981,8724,0,PT8M20S,0,0,745,5226644,0,1428650569,0
Village Food | Amazing fish Climbing perch curry | Grandmother recipes-105,cM-nPLYaPy4,Village Food | Amazing fish Climbing perch curry | Grandmother recipes-105 https://youtu.be/cM-nPLYaPy4 Blogger:http://villagefoodrecipes.blogspot.com ...,UCjFmxGKiUOubPoOhUeBUeAg,Food Village,2015-10-10T20:42:06.000Z,2017-08-03T10:21:05.000Z,99317,526,104,189,0,PT13M29S,0,0,124,24196,0,6587983,0
WE MADE FALLOUT 4 FOOD IN REAL LIFE!,Ya8GwlVoOeI,MORE COOKING: https://goo.gl/Hd69Qm SUPPORT THE CHANNEL: https://goo.gl/a2KGW7 SHOP MERCH! https://shop.crowdmade.com/collections/mxr PO ...,UCsHaCORAuXxrMDzC0hr8GPw,MxR Plays,2015-08-13T00:33:47.000Z,2017-08-07T21:48:52.000Z,68637,4595,71,1052,0,PT10M33S,0,0,265,188526,0,15975395,United States
Food Slime - Satisfying Slime ASMR Video #37!!,UQ2LyL9O8iI,Food Slime - Satisfying Slime ASMR Video video credits: @slimey.fantasy @mommyslimes @slimeydoodle @slimecarrot @woe.slimes How to Make slime ...,UC65uoCxBLOBwWifDRnM7YCw,Satisfying Slime ASMR,2015-09-24T09:49:23.000Z,2017-08-10T04:30:00.000Z,65498,1391,53,465,0,PT5M44S,0,0,582,327477,0,142228276,United States
Indian Biggest Special Pizza by Grandma || Myna Street Food,O4QeKCeeSbA,Indian Biggest Special Pizza by Grandma || Myna Street Food Myna Street Food The leading brand in Telugu Media & Entertainment & Indian Street Food ...,UCIQqTkKEgbsXxEA5agNEleg,Myna Street Food,2016-01-20T16:07:01.000Z,2017-07-28T07:25:29.000Z,449917,3260,460,343,0,PT16M50S,0,0,300,275838,0,73962289,India
